"Data Supplement to: ""A 3 million year index for North African humidity/aridity and the
implication of potential pan-African Humid periods"""															
															
Note: the dust proxy is from Larrasoa–a et al. (2003), rescaled to our chronology. It is
based on magnetic measurements (IRM@0.9 AF 120mT (A/m)) reflecting hematite variations,
which (at this site) reflect aeolian dust fluxes.																													
0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
								(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)				(see note)		
Site	Hole	Core	Section	Interval_cm	Depth below sfl_m	Splice depth_m	Age_ky	Al	Si	S	K	Ca	Ti	Mn	Fe	Rb	Sr	Zr	Ba	Age_ky	PC1	PC2	Age_ky	ODP 967 Dust proxy	Age_ky	ODP 967 wet-dry index
ODP 967	B	1	2	38	1.88	1.9	23.80	47430	114734	1688	10411	125381	3525	1141	36075	49	335	135	72	23.80	1.30	-0.13	20.98	0.344	60.5	-1.607
ODP 967	B	1	2	39	1.89	1.912	24.10	46289	110813	2030	10499	124117	3405	1171	35064	48	345	136	65	24.10	1.16	-0.01	21.23	0.355	61	-1.415
ODP 967	B	1	2	43	1.93	1.96	25.34	55075	110805	1825	10527	108958	4201	1257	38725	53	382	154	53	25.34	2.23	-0.27	21.48	0.361	61.5	-1.532
ODP 967	B	1	2	44	1.94	1.972	25.64	47909	113945	1850	10248	117992	3755	1282	37715	49	375	137	50	25.64	1.42	-0.14	21.72	0.359	62	-1.658
ODP 967	B	1	2	45	1.95	1.984	25.95	49443	115378	1859	10254	120552	3719	1273	39795	50	381	142	69	25.95	1.55	-0.17	21.97	0.351	62.5	-1.920
ODP 967	B	1	2	46	1.96	1.996	26.26	48919	108362	1895	10197	113498	3853	1236	37145	50	364	148	62	26.26	1.65	-0.01	22.23	0.34	63	-1.679
ODP 967	B	1	2	47	1.97	2.008	26.57	53346	118135	1760	10360	104406	4325	1232	41311	53	380	155	54	26.57	2.38	-0.28	22.49	0.33	63.5	-1.350
ODP 967	B	1	2	48	1.98	2.02	26.88	53947	119397	1799	10856	99793	4192	1069	41026	54	345	157	68	26.88	2.62	-0.20	22.75	0.325	64	-0.896
ODP 967	B	1	2	49	1.99	2.02643	27.04	62549	134003	1695	11641	80620	4915	934	46633	61	305	161	81	27.04	4.03	-0.47	23.01	0.325	64.5	-0.156
ODP 967	B	1	2	50	2	2.03286	27.21	64700	142248	1788	11910	66005	5225	895	50667	63	274	159	98	27.21	4.65	-0.42	23.27	0.331	65	-0.278
ODP 967	B	1	2	52	2.02	2.04571	27.54	69999	149213	1508	12690	64847	5665	898	53656	68	290	177	91	27.54	5.57	-0.91	23.54	0.341	65.5	-0.648
ODP 967	B	1	2	53	2.03	2.05214	27.70	69514	155816	1455	12673	62558	5715	805	49678	66	266	171	57	27.70	5.45	-1.06	23.80	0.354	66	-0.901
ODP 967	B	1	2	54	2.04	2.05857	27.87	68954	151680	1688	12775	64363	5712	874	51722	67	280	179	73	27.87	5.56	-0.99	24.10	0.368	66.5	-0.409
ODP 967	B	1	2	55	2.05	2.065	28.03	70566	144170	1562	12495	61074	6013	920	50822	68	275	183	72	28.03	5.69	-0.91	24.41	0.383	67	-0.419
ODP 967	B	1	2	56	2.06	2.07143	28.20	68789	138152	1482	12019	65403	5701	1015	47346	65	273	182	60	28.20	5.14	-0.83	24.72	0.403	67.5	-0.582
ODP 967	B	1	2	57	2.07	2.07786	28.36	62426	138159	1431	12115	91713	4802	1011	44133	61	341	172	68	28.36	3.99	-0.91	25.03	0.431	68	0.136
ODP 967	B	1	2	58	2.08	2.08429	28.53	56123	124324	1818	11271	94903	4417	1004	40266	56	347	160	64	28.53	3.03	-0.37	25.34	0.469	68.5	0.870
ODP 967	B	1	2	59	2.09	2.09071	28.69	52781	118648	1617	10966	106198	3840	1229	36983	52	361	146	55	28.69	2.07	-0.30	25.64	0.522	69	0.374
ODP 967	B	1	2	60	2.1	2.09714	28.86	49258	117395	1853	10833	114380	3735	1165	40865	52	362	144	113	28.86	1.93	-0.03	25.95	0.582	69.5	0.247
ODP 967	B	1	2	61	2.11	2.10357	29.02	54777	126396	1849	11714	108104	3997	1026	42478	55	351	157	83	29.02	2.79	-0.45	26.26	0.647	70	0.087
ODP 967	B	1	2	62	2.12	2.11	29.19	57659	134174	1887	12451	92716	4283	904	44693	60	311	159	113	29.19	3.61	-0.42	26.57	0.707	70.5	0.508
ODP 967	B	1	2	63	2.13	2.11964	29.43	59348	139365	1924	12544	82920	4318	899	44282	59	295	151	84	29.43	3.70	-0.46	26.88	0.764	71	0.365
ODP 967	B	1	2	64	2.14	2.12929	29.68	58060	129022	1971	11752	87253	4214	1018	43131	57	330	145	87	29.68	3.13	-0.22	27.04	0.818	71.5	0.753
ODP 967	B	1	2	65	2.15	2.13893	29.93	53837	125896	1928	11261	96259	3917	1102	40824	54	334	136	73	29.93	2.41	-0.14	27.21	0.866	72	1.654
ODP 967	B	1	2	66	2.16	2.14857	30.18	50505	119659	1884	10556	99183	3937	1101	38342	51	360	140	56	30.18	2.01	-0.03	27.37	0.906	72.5	1.336
ODP 967	B	1	2	67	2.17	2.15821	30.42	51721	121519	1832	10799	111931	3685	1196	41049	51	362	140	82	30.42	1.93	-0.18	27.54	0.941	73	1.085
ODP 967	B	1	2	68	2.18	2.16786	30.67	53380	120222	1641	11012	115872	3700	1213	39193	52	398	146	64	30.67	1.97	-0.42	27.70	0.966	73.5	0.625
ODP 967	B	1	2	69	2.19	2.1775	30.92	48814	120864	1588	10410	124228	3607	1269	40216	49	401	139	62	30.92	1.45	-0.34	27.87	0.979	74	0.361
