depth	min95%	max95%	best	accrate
661	146746	152214	149534	231.1
662	146982	152448	149765	229.53
663	147221	152683	149994	227.99
664	147457	152918	150222	226.49
665	147689	153151	150449	225.03
666	147920	153388	150674	223.6
667	148149	153612	150898	222.21
668	148378	153829	151120	220.86
669	148606	154043	151341	219.55
670	148814	154251	151560	218.27
671	149015	154455	151778	217.03
672	149214	154668	151995	215.82
673	149411	154883	152211	214.65
674	149607	155086	152426	213.52
675	149813	155290	152639	212.43
676	150010	155497	152852	211.37
677	150207	155685	153063	210.35
678	150425	155889	153274	209.37
679	150661	156097	153483	208.42
680	150897	156293	153691	207.51
681	151133	156501	153899	206.64
682	151356	156701	154106	205.8
683	151556	156900	154311	205
684	151808	157114	154516	204.24
685	152021	157296	154721	203.51
686	152267	157486	154924	202.83
687	152468	157681	155127	202.17
688	152654	157891	155329	201.56
689	152836	158108	155531	200.98
690	153031	158336	155732	200.44
691	153216	158560	155932	199.93
692	153407	158757	156132	199.46
693	153615	158963	156331	199.02
694	153825	159170	156531	198.6
695	154036	159371	156729	198.22
696	154237	159565	156927	197.86
697	154460	159752	157125	197.54
698	154680	159979	157323	197.25
699	154908	160204	157520	196.98
700	155103	160416	157717	196.75
701	155282	160626	157914	196.55
702	155479	160854	158110	196.37
703	155674	161053	158307	196.23
704	155889	161253	158503	196.12
705	156125	161426	158699	196.03
706	156325	161609	158895	195.98
707	156538	161839	159091	195.96
708	156751	162052	159287	195.97
709	156950	162247	159483	196
710	157138	162432	159679	196.07
711	157356	162615	159875	196.17
712	157556	162813	160071	196.3
713	157750	163014	160267	196.45
714	157947	163237	160464	196.64
715	158142	163438	160661	196.86
716	158339	163636	160857	197.11
717	158535	163831	161055	197.39
718	158736	164026	161252	197.7
719	158934	164220	161450	198.03
720	159126	164414	161648	198.4
721	159324	164608	161846	198.8
722	159517	164798	162045	199.23
723	159702	164995	162244	199.69
724	159905	165191	162444	200.18
725	160110	165384	162644	200.7
726	160316	165576	162845	201.25
727	160527	165792	163046	201.83
728	160730	165986	163248	202.44
729	160954	166210	163450	203.08
730	161172	166400	163653	203.75
731	161368	166631	163857	204.45
732	161575	166857	164061	205.18
733	161805	167047	164267	205.94
734	162036	167284	164473	206.73
735	162268	167508	164679	207.55
736	162470	167745	164887	208.4
737	162693	167981	165095	209.28
738	162906	168211	165304	210.19
739	163114	168432	165515	211.13
740	163297	168651	165726	212.1
741	163514	168854	165938	213.1
742	163722	169068	166151	214.13
743	163958	169304	166365	215.19
744	164193	169519	166580	216.29
745	164444	169733	166797	217.41
746	164650	169962	167014	218.56
747	164857	170194	167233	219.74
748	165084	170398	167452	220.95
749	165312	170592	167673	222.18
750	165542	170809	167895	223.4
751	165778	171042	168119	224.61
752	166035	171259	168343	225.82
753	166267	171488	168569	227.03
754	166474	171720	168796	228.24
755	166702	171951	169025	229.44
756	166938	172188	169254	230.63
757	167174	172404	169485	231.82
758	167383	172632	169716	233.01
759	167591	172854	169949	234.19
760	167830	173085	170184	235.37
761	168050	173315	170419	236.54
762	168295	173544	170656	237.71
763	168532	173764	170893	238.88
764	168736	173993	171132	240.04
765	168981	174204	171372	241.2
766	169249	174414	171613	242.35
767	169491	174628	171856	243.5
768	169754	174879	172099	244.65
769	169969	175126	172344	245.79
770	170199	175349	172590	246.92
771	170467	175549	172837	248.05
772	170737	175745	173085	249.18
773	170976	175989	173334	250.31
774	171215	176234	173584	251.43
775	171474	176459	173836	252.54
776	171703	176680	174088	253.65
777	171934	176896	174342	254.76
778	172179	177093	174596	255.86
779	172436	177291	174852	256.96
780	172669	177489	175109	258.06
781	172934	177713	175367	259.15
782	173206	177944	175627	260.23
783	173465	178186	175887	261.31
784	173706	178419	176148	262.39
785	173972	178678	176410	263.46
786	174211	178952	176674	264.53
787	174475	179207	176938	265.6
788	174748	179445	177204	266.66
789	175025	179701	177471	267.71
790	175304	179978	177738	268.77
791	175566	180252	178007	269.82
792	175820	180516	178277	270.86
793	176073	180780	178548	271.9
794	176341	181064	178820	272.93
795	176627	181340	179093	273.97
796	176915	181632	179367	274.99
797	177191	181871	179642	276.02
798	177453	182192	179918	277.03
799	177718	182467	180195	278.05
800	177999	182724	180473	279.06
801	178286	182982	180752	280.06
802	178576	183240	181032	281.07
803	178865	183522	181313	282.06
804	179169	183805	181595	283.06
805	179451	184075	181878	284.05
806	179744	184399	182162	285.03
807	180039	184690	182447	286.01
808	180326	184956	182733	286.99
809	180578	185260	183020	287.96
810	180848	185550	183308	288.93
811	181144	185834	183597	289.89
812	181408	186119	183887	290.85
813	181697	186405	184178	291.81
814	181995	186702	184470	292.76
815	182303	186995	184762	293.7
816	182608	187293	185056	294.63
817	182878	187603	185351	295.55
818	183184	187911	185646	296.47
819	183487	188197	185943	297.38
820	183783	188528	186240	298.28
821	184072	188837	186538	299.18
822	184397	189166	186838	300.06
823	184725	189494	187138	300.94
824	185019	189780	187439	301.81
825	185296	190083	187740	302.68
826	185613	190373	188043	303.53
827	185957	190650	188347	304.38
828	186303	190926	188651	305.22
829	186651	191200	188956	306.06
830	187001	191483	189262	306.88
831	187340	191804	189569	307.7
832	187668	192117	189877	308.51
833	187983	192446	190185	309.31
834	188307	192773	190495	310.11
835	188606	193106	190805	310.89
836	188911	193422	191116	311.67
837	189224	193755	191427	312.45
838	189547	194076	191740	313.21
839	189885	194374	192053	313.97
840	190215	194672	192367	314.72
841	190526	194979	192682	315.46
842	190861	195306	192997	316.19
843	191200	195617	193313	316.92
844	191513	195918	193630	317.64
845	191832	196254	193948	318.35
846	192136	196559	194266	319.05
847	192477	196882	194585	319.75
848	192808	197229	194905	320.43
849	193131	197527	195225	321.11
850	193451	197826	195547	321.79
851	193798	198137	195868	322.45
852	194128	198454	196191	323.11
853	194426	198795	196514	323.76
854	194722	199141	196838	324.4
855	195039	199487	197162	325.03
856	195332	199833	197487	325.66
857	195666	200165	197813	326.28
858	195998	200480	198139	326.89
859	196330	200804	198466	327.49
860	196633	201145	198793	328.09
861	196935	201481	199121	328.68
862	197248	201815	199450	329.26
863	197583	202146	199779	329.83
864	197886	202482	200109	330.4
865	198187	202812	200440	330.96
866	198490	203139	200771	331.51
867	198840	203478	201102	332.05
868	199122	203809	201434	332.58
869	199437	204140	201767	333.11
870	199771	204471	202100	333.63
871	200099	204801	202433	334.14
872	200375	205128	202768	334.65
873	200707	205456	203102	335.14
874	201018	205782	203437	335.63
875	201324	206119	203773	336.11
876	201636	206470	204109	336.59
877	201946	206815	204446	337.05
878	202261	207153	204783	337.51
879	202579	207484	205120	337.96
880	202889	207816	205458	338.41
881	203202	208159	205797	338.84
882	203522	208495	206136	339.27
883	203844	208857	206475	339.69
884	204168	209213	206814	340.1
885	204495	209542	207155	340.51
886	204824	209850	207495	340.9
887	205155	210190	207836	341.29
888	205489	210533	208177	341.67
889	205839	210856	208519	342.05
890	206195	211175	208861	342.42
891	206505	211501	209203	342.77
892	206847	211806	209546	343.13
893	207193	212111	209889	343.47
894	207542	212422	210233	343.81
895	207893	212759	210577	344.13
896	208253	213095	210921	344.45
897	208607	213451	211265	344.77
898	208952	213773	211610	345.07
899	209302	214099	211955	345.37
900	209650	214423	212300	345.66
901	210018	214758	212646	345.94
902	210388	215085	212992	346.22
903	210757	215411	213338	346.48
904	211111	215738	213685	346.74
905	211479	216069	214031	347
906	211877	216413	214378	347.24
907	212266	216734	214726	347.48
908	212653	217079	215073	347.71
909	213043	217436	215421	347.93
910	213436	217777	215769	348.14
911	213780	218116	216117	348.35
912	214123	218437	216465	348.56
913	214518	218807	216814	348.79
914	214917	219122	217163	349.02
915	215256	219449	217512	349.26
916	215589	219804	217861	349.5
917	215976	220169	218210	349.76
918	216370	220485	218560	350.02
919	216761	220801	218910	350.3
920	217159	221172	219260	350.58
921	217558	221542	219611	350.87
922	217956	221906	219962	351.16
923	218332	222251	220313	351.47
924	218697	222603	220665	351.78
925	219084	222953	221016	352.1
926	219439	223291	221368	352.44
927	219820	223636	221721	352.77
928	220225	223994	222074	353.12
929	220606	224355	222427	353.48
