% Laskar et al. 2004, original file name "data_insolaout6HoGWM.txt".
%   Age (kyr)  Eccentricity      Obliquity     Precession
    -936.000       0.036701      -0.036662       0.399126
    -935.000       0.035658      -0.033670       0.397908
    -934.000       0.034522      -0.027969       0.396847
    -933.000       0.033454      -0.020362       0.395975
    -932.000       0.032334      -0.011544       0.395320
    -931.000       0.031174      -0.002318       0.394903
    -930.000       0.030028       0.006387       0.394746
    -929.000       0.028835       0.013829       0.394861
    -928.000       0.027680       0.019666       0.395247
    -927.000       0.026411       0.023198       0.395907
    -926.000       0.025202       0.024624       0.396825
    -925.000       0.023983       0.023928       0.397983
    -924.000       0.022691       0.021360       0.399362
    -923.000       0.021426       0.017430       0.400930
    -922.000       0.020228       0.012721       0.402654
    -921.000       0.018908       0.007568       0.404505
    -920.000       0.017701       0.002659       0.406436
    -919.000       0.016481      -0.001673       0.408409
    -918.000       0.015275      -0.005273       0.410382
    -917.000       0.014121      -0.007833       0.412308
    -916.000       0.013020      -0.009447       0.414138
    -915.000       0.011980      -0.010257       0.415831
    -914.000       0.011070      -0.010402       0.417339
    -913.000       0.010186      -0.010037       0.418625
    -912.000       0.009612      -0.009612       0.419658
    -911.000       0.009090      -0.009010       0.420409
    -910.000       0.008848      -0.008554       0.420861
    -909.000       0.008896      -0.008225       0.421009
    -908.000       0.009101      -0.007912       0.420846
    -907.000       0.009564      -0.007527       0.420382
    -906.000       0.010255      -0.006970       0.419631
    -905.000       0.011032      -0.005901       0.418608
    -904.000       0.011935      -0.004260       0.417340
    -903.000       0.012992      -0.002001       0.415856
    -902.000       0.014017       0.001071       0.414184
    -901.000       0.015129       0.004706       0.412366
    -900.000       0.016269       0.008673       0.410444
    -899.000       0.017416       0.012768       0.408460
    -898.000       0.018565       0.016433       0.406468
    -897.000       0.019690       0.019237       0.404514
    -896.000       0.020865       0.020823       0.402648
    -895.000       0.021996       0.020717       0.400922
    -894.000       0.023065       0.018668       0.399378
    -893.000       0.024225       0.014787       0.398051
    -892.000       0.025291       0.009018       0.396977
    -891.000       0.026313       0.001908       0.396174
    -890.000       0.027420      -0.006025       0.395652
    -889.000       0.028360      -0.014038       0.395418
    -888.000       0.029391      -0.021398       0.395466
    -887.000       0.030287      -0.027165       0.395781
    -886.000       0.031210      -0.030811       0.396348
    -885.000       0.032079      -0.031762       0.397138
    -884.000       0.032841      -0.029735       0.398124
    -883.000       0.033643      -0.024875       0.399277
    -882.000       0.034378      -0.017463       0.400561
    -881.000       0.034980      -0.008080       0.401940
    -880.000       0.035639       0.002363       0.403380
    -879.000       0.036201       0.012932       0.404843
    -878.000       0.036695       0.022662       0.406293
    -877.000       0.037154       0.030530       0.407697
    -876.000       0.037569       0.035799       0.409026
    -875.000       0.037950       0.037949       0.410253
    -874.000       0.038241       0.036643       0.411358
    -873.000       0.038523       0.031998       0.412323
    -872.000       0.038772       0.024427       0.413136
    -871.000       0.038939       0.014548       0.413793
    -870.000       0.039046       0.003253       0.414291
    -869.000       0.039197      -0.008324       0.414630
    -868.000       0.039173      -0.019288       0.414812
    -867.000       0.039191      -0.028474       0.414841
    -866.000       0.039136      -0.035080       0.414722
    -865.000       0.039040      -0.038554       0.414466
    -864.000       0.038879      -0.038494       0.414080
    -863.000       0.038667      -0.034972       0.413577
    -862.000       0.038466      -0.028342       0.412968
    -861.000       0.038145      -0.019226       0.412269
    -860.000       0.037803      -0.008450       0.411495
    -859.000       0.037463       0.002853       0.410662
    -858.000       0.037041       0.013740       0.409788
    -857.000       0.036579       0.023130       0.408886
    -856.000       0.036131       0.030158       0.407972
    -855.000       0.035623       0.034275       0.407059
    -854.000       0.035104       0.035089       0.406162
    -853.000       0.034534       0.032602       0.405295
    -852.000       0.033969       0.027177       0.404472
    -851.000       0.033422       0.019381       0.403708
    -850.000       0.032711       0.009994       0.403016
    -849.000       0.032155       0.000065       0.402413
    -848.000       0.031471      -0.009562       0.401911
    -847.000       0.030760      -0.017840       0.401526
    -846.000       0.030102      -0.024114       0.401267
    -845.000       0.029371      -0.027781       0.401143
    -844.000       0.028634      -0.028630       0.401160
