"NEW_depth_cm"	"Zr_Al"	"Ti_Al"	"Fe_Al"	"Ca_Ti"	"Rb_Ti"	"Si_Al"	"Br_cps"	"Sr_Ca"	"age_ka"
614	0.537539836236223	0.579993152488562	2.59261157673688	4.8319517733933	-1.32850226238117	2.26233910916107	1426	-2.34806438778487	135.967
615	0.631134388255199	0.640961427389375	2.60391453510534	4.87098218933548	-1.22054934851171	2.34121582646899	1394	-2.30753841262508	136.318
616	0.686726612757023	0.643956936369174	2.6292378473439	4.8361285004941	-1.28717174818091	2.31790710909183	1438	-2.29542017692767	136.666
617	0.623200317413113	0.674775567708965	2.62544217777085	4.78190688653171	-1.19318108699773	2.31496765854067	1682	-2.28159959164184	137.01
618	0.445739007246104	0.575792135494302	2.54430689745002	4.85011960901455	-1.34809454347936	2.26196919088319	1608	-2.35210568312138	137.351
619	0.561588823761281	0.633002474287587	2.63697044874365	4.76889617625436	-1.17397591141373	2.23169773554037	1806	-2.31407320814046	137.689
620	0.791761024927232	0.789467971870194	2.85404988364822	4.81407510636223	-1.20152706785765	2.36062504154747	1916	-2.2410353744754	138.024
621	0.701381246583621	0.688348916174025	2.64821580947237	4.78694867157352	-1.20557735576056	2.2685935039528	1891	-2.25169838383409	138.356
622	0.646669567452249	0.759465061597594	2.77736359111966	4.77572486717672	-1.34387364523594	2.36405792236849	2005	-2.32586985544764	138.685
623	0.745439192364129	0.75248017012743	2.70820692863172	4.62272204168978	-1.09272125543087	2.28519335028218	2308	-2.29339290568339	139.01
624	0.868983447458793	0.782229205980994	2.86273073330573	4.59432485389233	-1.21418027069093	2.3119007576937	2342	-2.29363125168631	139.333
625	0.880196588238311	0.752989499759231	2.7374990509817	4.48829239265013	-1.36529892461694	2.31848461098878	2402	-2.31837446955538	139.652
626	0.935450001812633	0.838124591474464	2.9007836768147	4.46828442355546	-1.23939330232086	2.38147555528016	2621	-2.2649349932888	139.969
627	0.837166769367522	0.889162064485903	2.92955954407541	4.43578459760241	-1.30195321268614	2.409695900814	2713	-2.33242309947767	140.282
628	0.678800787729556	0.757845477099292	2.80964908531103	4.47564309000237	-1.35428893437978	2.30083045005227	2678	-2.3707243470167	140.593
629	0.692014463806779	0.748206957742973	2.72772950102572	4.5122909775485	-1.3498246813385	2.28852443953439	2691	-2.34667173962761	140.901
