Depth sed [m]	Age [ka BP]	Ti/terr	K/terr	Terr/Ca
0.814	10.742	0.480	0.382	0.208
0.816	10.818	0.487	0.380	0.233
0.818	10.894	0.499	0.365	0.235
0.820	10.970	0.486	0.371	0.209
0.822	11.044	0.501	0.360	0.273
0.824	11.118	0.480	0.369	0.293
0.826	11.192	0.511	0.350	0.323
0.828	11.266	0.504	0.352	0.333
0.830	11.340	0.505	0.357	0.310
0.832	11.416	0.499	0.355	0.303
0.834	11.492	0.494	0.360	0.301
0.836	11.568	0.501	0.353	0.315
0.838	11.644	0.479	0.371	0.284
0.840	11.720	0.486	0.371	0.268
0.842	11.796	0.506	0.346	0.304
0.844	11.872	0.507	0.352	0.338
0.846	11.948	0.519	0.345	0.340
0.848	12.024	0.528	0.339	0.326
0.850	12.100	0.511	0.350	0.354
0.852	12.174	0.522	0.345	0.326
0.854	12.248	0.517	0.347	0.363
0.856	12.322	0.511	0.348	0.346
0.858	12.396	0.513	0.348	0.325
0.860	12.470	0.525	0.333	0.345
0.862	12.546	0.519	0.329	0.381
0.864	12.622	0.517	0.327	0.449
0.866	12.698	0.524	0.331	0.427
0.868	12.774	0.512	0.337	0.389
0.870	12.850	0.522	0.343	0.407
0.872	12.924	0.517	0.345	0.408
0.874	12.998	0.521	0.336	0.415
0.876	13.072	0.510	0.350	0.428
0.878	13.146	0.509	0.354	0.430
0.880	13.220	0.514	0.349	0.414
0.882	13.296	0.508	0.349	0.394
0.884	13.372	0.508	0.345	0.390
0.886	13.448	0.508	0.341	0.383
0.888	13.524	0.513	0.340	0.423
0.890	13.600	0.510	0.344	0.401
0.892	13.674	0.488	0.369	0.348
0.894	13.748	0.499	0.351	0.423
0.896	13.822	0.510	0.342	0.402
0.898	13.896	0.489	0.367	0.367
0.900	13.970	0.487	0.359	0.404
1.972	30.068	0.423	0.435	0.154
1.974	30.096	0.460	0.408	0.168
1.976	30.124	0.440	0.421	0.169
1.978	30.152	0.455	0.406	0.174
1.980	30.180	0.453	0.415	0.187
1.982	30.210	0.440	0.422	0.188
1.984	30.240	0.441	0.421	0.172
1.986	30.270	0.459	0.408	0.169
1.988	30.300	0.449	0.419	0.176
1.990	30.330	0.440	0.423	0.165
1.992	30.352	0.457	0.407	0.190
1.994	30.374	0.454	0.411	0.186
1.996	30.396	0.451	0.413	0.176
1.998	30.418	0.444	0.418	0.168
2.000	30.440	0.440	0.420	0.176
2.002	30.462	0.445	0.425	0.175
2.004	30.484	0.446	0.416	0.169
2.006	30.506	0.441	0.428	0.166
2.008	30.528	0.428	0.439	0.162
2.010	30.550	0.442	0.421	0.165
2.012	30.572	0.425	0.439	0.170
2.014	30.594	0.441	0.427	0.162
2.016	30.616	0.421	0.433	0.163
2.018	30.638	0.420	0.444	0.162
2.020	30.660	0.442	0.423	0.168
2.022	30.682	0.442	0.426	0.166
2.024	30.704	0.430	0.425	0.165
2.026	30.726	0.435	0.420	0.169
2.028	30.748	0.434	0.424	0.156
2.030	30.770	0.427	0.430	0.154
2.032	30.790	0.434	0.424	0.159
2.034	30.810	0.431	0.424	0.160
2.036	30.830	0.421	0.433	0.163
2.038	30.850	0.430	0.423	0.155
2.040	30.870	0.429	0.430	0.148
2.042	30.892	0.448	0.419	0.149
2.044	30.914	0.414	0.439	0.141
2.046	30.936	0.426	0.440	0.150
2.048	30.958	0.430	0.425	0.143
2.050	30.980	0.425	0.431	0.138
2.052	31.002	0.433	0.430	0.143
2.054	31.024	0.421	0.442	0.137
2.056	31.046	0.426	0.435	0.138
2.058	31.068	0.427	0.435	0.141
2.060	31.090	0.425	0.432	0.144
2.062	31.112	0.406	0.446	0.134
2.064	31.134	0.422	0.437	0.142
2.066	31.156	0.416	0.441	0.142
2.068	31.178	0.417	0.441	0.133
2.070	31.200	0.416	0.440	0.137
2.072	31.222	0.421	0.443	0.137
2.074	31.244	0.434	0.421	0.141
2.076	31.266	0.422	0.444	0.130
2.078	31.288	0.420	0.443	0.138
2.080	31.310	0.423	0.442	0.140
2.082	31.330	0.425	0.438	0.140
2.084	31.350	0.417	0.443	0.141
2.086	31.370	0.420	0.442	0.148
2.088	31.390	0.412	0.446	0.151
2.090	31.410	0.421	0.448	0.153
2.092	31.432	0.420	0.446	0.172
2.094	31.454	0.422	0.438	0.170
2.096	31.476	0.424	0.429	0.162
2.098	31.498	0.421	0.433	0.171
2.100	31.520	0.434	0.429	0.182
2.102	31.542	0.440	0.433	0.202
2.104	31.564	0.430	0.425	0.198
2.106	31.586	0.430	0.430	0.198
2.108	31.608	0.438	0.427	0.198
2.110	31.630	0.421	0.435	0.188
2.112	31.652	0.446	0.419	0.199
2.114	31.674	0.438	0.416	0.209
2.116	31.696	0.446	0.408	0.222
2.118	31.718	0.444	0.415	0.212
2.120	31.740	0.440	0.421	0.216
2.122	31.760	0.426	0.427	0.210
2.124	31.780	0.426	0.425	0.197
2.126	31.800	0.425	0.430	0.213
2.128	31.820	0.429	0.428	0.203
2.130	31.840	0.419	0.429	0.207
2.132	31.862	0.425	0.418	0.207
2.134	31.884	0.417	0.430	0.168
2.136	31.906	0.437	0.416	0.174
2.138	31.928	0.424	0.440	0.146
2.140	31.950	0.415	0.436	0.150
2.142	31.972	0.427	0.431	0.150
2.144	31.994	0.407	0.451	0.160
2.146	32.016	0.432	0.424	0.169
2.148	32.038	0.420	0.428	0.171
2.150	32.060	0.441	0.417	0.179
2.152	32.082	0.458	0.403	0.176
2.154	32.104	0.427	0.426	0.171
2.156	32.126	0.455	0.403	0.180
2.158	32.148	0.435	0.419	0.176
2.160	32.170	0.425	0.427	0.163
2.162	32.192	0.435	0.427	0.159
2.164	32.214	0.422	0.427	0.168
2.166	32.236	0.450	0.411	0.175
2.168	32.258	0.441	0.422	0.165
2.170	32.280	0.431	0.424	0.160
2.172	32.300	0.425	0.425	0.167
2.174	32.320	0.435	0.427	0.163
2.176	32.340	0.438	0.420	0.168
2.178	32.360	0.446	0.426	0.163
2.180	32.380	0.436	0.432	0.175
2.182	32.402	0.432	0.428	0.188
2.184	32.424	0.448	0.425	0.185
