MCD	Age (ka BP)	Terrigenous %
44.55	1206.05	21.39
44.6	1207.73	21.39
44.65	1209.41	24.4
44.7	1211.09	23.9
44.75	1212.77	20.88
44.8	1214.45	20.88
44.9	1217.81	27.92
44.95	1219.49	28.93
45	1221.17	29.43
45.05	1222.85	28.93
45.1	1224.53	24.91
45.15	1225.5	20.88
45.2	1227.8	17.37
45.25	1228.54	14.35
45.3	1230.35	14.35
45.35	1232.15	14.85
45.4	1233.95	16.36
45.45	1235.75	16.86
45.5	1237.55	18.37
45.55	1239.35	18.37
45.6	1241.16	17.87
45.65	1241.25	18.37
45.7	1243.18	17.37
45.75	1245.1	18.37
45.8	1248.95	23.4
45.9	1250.79	36.47
45.95	1251.69	38.98
46	1252.86	34.96
46.05	1254.03	32.45
46.1	1255.2	32.45
46.15	1256.37	33.45
46.2	1257.54	37.47
46.25	1258.71	37.98
46.3	1259.88	34.46
46.35	1261.05	34.46
46.4	1262.22	34.46
46.45	1263.39	29.43
46.5	1264.56	29.43
46.55	1265.73	32.45
46.6	1266.9	35.96
46.65	1268.07	31.44
46.7	1269.24	29.93
46.75	1270.41	28.93
46.8	1271.58	28.93
46.85	1272.75	28.42
46.9	1273.92	27.42
46.95	1275.08	24.91
47	1276.26	20.88
47.05	1277.42	16.86
47.1	1278.64	15.36
47.15	1280.05	20.88
47.2	1281.46	22.39
47.25	1282.88	25.41
47.3	1284.29	26.92
47.35	1285.71	29.43
47.4	1287.12	28.42
47.45	1288.53	28.93
47.5	1289.94	32.95
47.55	1291.35	31.94
47.6	1292.77	29.93
47.65	1295.6	29.93
47.75	1297.01	29.43
47.8	1298.42	28.42
47.85	1299.84	27.42
47.9	1301.25	29.43
47.95	1302.66	32.95
48	1304.07	34.46
48.05	1305.48	33.95
48.1	1306.9	28.42
48.15	1308.31	29.43
48.2	1309.73	27.42
48.25	1311.14	23.4
48.3	1312.56	18.87
48.35	1313.97	15.86
48.4	1315.38	15.36
48.45	1316.9	17.37
48.5	1318.4	15.86
48.55	1319.91	16.36
48.6	1321.42	20.38
48.65	1322.92	24.4
48.7	1324.43	25.91
48.75	1325.94	27.42
48.8	1327.45	30.44
48.85	1328.95	26.41
48.9	1330.46	31.94
