Age Ti/Ca_kaBP	KL09_TiCa	Age Hem_kaBP	KL09_Hem	Age MGSQ_kaBP	MGSG		time_kyr	Sanbao sim	MGSQ sim
0.997432	0.016	64.4374	0.363	7.59967	0.345839		16	-2.043	0.23166009
1.00505	0.01	65.171	0.517	7.66146	0.345713		16.125	-1.428	0.23180074
1.01266	0.013	65.9045	0.573	7.70424	0.345645		16.25	-0.858	0.231384302
1.02027	0.011	66.6381	0.407	7.74891	0.345574		16.375	-0.947	0.230395844
1.02789	0.014	67.3716	0.285	7.78123	0.345522		16.5	-0.566	0.229131806
1.0355	0.012	68.0912	0.348	7.84397	0.345422		16.625	-1.111	0.228032017
1.04311	0.012	68.7649	0.262	7.92476	0.345293		16.75	-1.083	0.22742788
1.05073	0.012	69.4385	0.339	7.9913	0.345187		16.875	-1.208	0.22736032
1.05834	0.011	70.1122	0.317	8.0664	0.345067		17	-1.024	0.227810999
1.06596	0.012	70.786	0.507	8.1529	0.344929		17.125	-0.349	0.228659488
1.07357	0.013	71.4597	0.275	8.2394	0.344791		17.25	-0.167	0.229428936
1.08118	0.012	72.1333	0.249	8.3316	0.344644		17.375	-0.327	0.229617549
1.0888	0.009	72.807	0.292	8.42856	0.344489		17.5	-0.464	0.229189472
1.09641	0.011	73.4807	0.343	8.54833	0.344298		17.625	-0.99	0.228454926
1.10403	0.011	74.1544	0.269	8.64053	0.345774		17.75	-1.008	0.227679077
1.11164	0.013	74.828	0.287	8.73273	0.347376		17.875	-0.102	0.226797659
1.11926	0.01	75.5017	0.382	8.81543	0.348812		18	-0.471	0.225494849
1.12687	0.014	76.1754	0.425	8.90764	0.350414		18.125	0.034	0.223604782
1.13448	0.012	76.8491	0.376	8.99984	0.352016		18.25	-0.449	0.221221291
1.1421	0.009	77.5227	0.404	9.11961	0.354096		18.375	-0.223	0.218476166
1.14971	0.011	78.1964	0.341	9.21562	0.355764		18.5	-0.279	0.215833901
1.15732	0.013	79.207	0.43	9.30782	0.357366		18.625	-0.028	0.21402168
1.16493	0.013	79.8806	0.357	9.40002	0.358968		18.75	0.257	0.213129413
1.17256	0.013	80.5594	0.363	9.6101	0.362099		18.875	-0.122	0.212466828
1.18017	0.013	81.2722	0.347	9.82872	0.364814		19	-0.169	0.211409928
1.18778	0.011	81.9849	0.696	10.0378	0.367412		19.125	-0.305	0.209842041
1.1954	0.014	82.6975	0.508	10.247	0.370009		19.25	-0.238	0.207937871
1.20301	0.013	83.4103	0.562	10.4751	0.371631		19.375	-0.673	0.205941156
1.21062	0.012	84.1231	0.604	10.7032	0.359935		19.5	-0.245	0.204103625
1.21823	0.013	84.8358	0.557	10.9979	0.344826		19.625	-0.394	0.202334684
1.22585	0.015	85.5484	0.652	11.4066	0.323869		19.75	-0.381	0.199721515
1.23346	0.013	86.2612	0.489	12.0055	0.215965		19.875	-0.665	0.195488432
1.24108	0.02	86.9739	0.397	12.6329	0.158051		20	-0.578	0.190394965
1.2487	0.012	87.6867	0.289	14.0967	0.0895705		20.125	-0.696	0.186035916
1.25631	0.014	89.8248	0.426	17.3476	0.157406		20.25	-0.994	0.183078703
1.26392	0.013	90.1812	0.485	21.5205	0.127008		20.375	-0.99	0.181193594
1.27153	0.014	90.5375	0.546	24.9805	0.226796		20.5	-0.878	0.180068662
1.27915	0.015	90.8939	0.598	26.568	0.329645		20.625	-0.744	0.179248888
1.28676	0.016	91.2502	0.637	27.1383	0.292942		20.75	-0.62	0.177463673
1.29437	0.015	91.6066	0.659	27.49	0.263781		20.875	-0.7	0.173494205
1.302	0.014	91.963	0.665	27.8322	0.287512		21	-0.851	0.168244288
1.30961	0.02	92.3194	0.658	28.1649	0.325058		21.125	-0.985	0.164452719
1.31722	0.013	92.6757	0.644	28.5071	0.363676		21.25	-0.83	0.163405824
1.32483	0.017	93.0321	0.624	28.8493	0.337664		21.375	-0.489	0.163780098
1.33245	0.014	93.3706	0.598	29.1915	0.309805		21.5	-0.436	0.164080681
1.34006	0.017	93.7019	0.565	29.5242	0.29044		21.625	-0.5	0.164331839
1.34767	0.012	94.0332	0.525	29.8569	0.308383		21.75	-0.381	0.164915083
1.35528	0.013	94.3644	0.48	30.1706	0.3253		21.875	-0.49	0.165557065
1.3629	0.014	94.6957	0.434	30.3987	0.337603		22	-0.729	0.165858605
1.37052	0.013	95.027	0.396	30.5698	0.332849		22.125	-0.984	0.165667577
