Depth [m]	Interpolated Bchron Age	Zr/Rb 	Ca/Ti	Rb/K
3.00544	3473.064	4.434605681	0.243778362	2.544562209
3.01643	3494.0385	5.613114527	0.241705045	2.485780633
3.02745	3515.155	4.865738028	0.224838249	2.717916218
3.03843	3536.017	5.623534031	0.232180127	2.418187715
3.04944	3556.936	4.859117459	0.245254831	2.550462222
3.06043	3576.817	5.837074296	0.245132436	2.192141889
3.07146	3597.774	5.459886284	0.289695432	1.725975185
3.18003	3800.057	5.66920293	0.237789418	2.956325126
3.19099	3820.881	4.901194169	0.201265529	10.49831913
3.20198	3841.564	3.884872877	0.200150371	7.832924484
3.213	3861.4	4.24843371	0.199566026	11.11575039
3.22403	3881.657	4.306713609	0.214443894	7.890289338
3.23498	3901.964	5.26994754	0.204615618	21.49951429
3.24599	3922.381	4.685773381	0.203910571	11.72980972
3.25699	3942.582	4.433077465	0.194338051	19.51553976
3.26799	3962.382	4.070846366	0.178504089	41.145432
3.27904	3982.272	4.583577411	0.186119062	16.04057822
3.28999	4002.981	5.479504143	0.177185712	24.71712876
3.301	4023.8	4.207949081	0.185170347	14.8986372
3.31198	4043.762	4.805443282	0.197988774	15.97832136
3.32303	4064.454	4.504233512	0.178895451	15.80358746
3.33399	4084.182	4.9233938	0.178740955	19.23412426
3.34499	4104.2315	4.340808154	0.19151972	19.7979719
3.35599	4124.5815	4.401518388	0.187453074	16.96198892
3.36698	4144.564	4.691450314	0.189542309	15.26234726
3.37798	4163.566	4.676814974	0.189430335	14.30851854
3.38899	4184.081	4.221506181	0.187979624	11.76635153
3.39999	4203.4825	5.096812321	0.207481294	15.15461569
3.41099	4223.782	4.412901704	0.190468044	14.36678007
3.42202	4243.434	4.3004737	0.183216383	33.39294321
3.43299	4262.382	4.299386401	0.179938295	59.43099468
3.444	4282.2	4.83934187	0.193161186	21.87147512
3.45498	4302.462	4.689642598	0.188348453	28.39206445
3.46599	4322.183	4.920216377	0.176939569	16.28439014
3.47699	4341.582	4.269499	0.20618336	6.589742517
3.48798	4361.364	5.000440806	0.178248728	9.319764028
3.49899	4381.182	5.202824982	0.175132259	9.123409079
3.50999	4399.983	4.908018905	0.178200875	6.749327697
3.52103	4419.854	4.55315203	0.202198964	3.852584956
3.53199	4439.582	4.581780439	0.193276352	10.6032164
3.543	4459.4	4.671926098	0.189580483	23.54056977
3.55399	4479.182	5.86066942	0.181574209	19.40185005
3.56503	4498.551	5.350829118	0.170556243	21.76394904
3.57598	4517.764	4.845251631	0.193911364	36.36261895
3.58699	4537.582	5.565114423	0.197664842	11.52502891
