anu	ins_chb_s	ins_chb_a	ins_tibet_s
130600	463.933438507162	405.541426605425	514.098286712607
130610	463.984710624879	405.512136715646	514.004947695393
130620	464.035757531067	405.483023882173	513.911551284879
130630	464.086578868315	405.454088044664	513.818098210155
130640	464.137174281457	405.425329142878	513.724589198804
130650	464.187543417	405.396747116094	513.631024976951
130660	464.237685923475	405.368341903572	513.537406269113
130670	464.287601451297	405.340113444207	513.443733798442
130680	464.337289652857	405.312061676834	513.350008286536
130690	464.386750182409	405.28418654002	513.256230453443
130700	464.435982696081	405.25648797218	513.162401017841
130710	464.484986852152	405.228965911531	513.06852069675
130720	464.533762310623	405.201620296095	512.974590205719
130730	464.582308733594	405.174451063704	512.88061025893
130740	464.63062578492	405.147458152108	512.786581568961
130750	464.67871313052	405.120641498769	512.692504846829
130760	464.726570438324	405.094001040988	512.598380802131
130770	464.774197378117	405.067536715962	512.504210142932
130780	464.821593621578	405.04124846068	512.409993575839
130790	464.868758842534	405.015136211968	512.315731805863
130800	464.915692716537	404.989199906586	512.221425536541
130810	464.962394921378	404.963439480934	512.127075469938
130820	465.008865136602	404.93785487148	512.032682306603
130830	465.055103043748	404.912446014478	511.938246745529
130840	465.10110832643	404.887212845907	511.843769484261
130850	465.146880670123	404.862155301771	511.749251218767
130860	465.192419762377	404.837273317912	511.654692643593
130870	465.237725292601	404.812566829882	511.560094451694
130880	465.282796952334	404.788035773329	511.465457334587
130890	465.327634435033	404.763680083527	511.370781982181
130900	465.372237436026	404.739499695862	511.27606908301
130910	465.416605652889	404.715494545427	511.18131932398
130920	465.460738784986	404.691664567249	511.086533390565
130930	465.504636533729	404.668009696252	510.991711966683
130940	465.548298602582	404.644529867153	510.896855734796
130950	465.591724696865	404.621225014721	510.801965375807
130960	465.634914524147	404.598095073467	510.707041569105
130970	465.677867793785	404.57513997784	510.612084992612
130980	465.720584217196	404.552359662216	510.517096322744
130990	465.76306350796	404.529754060861	510.422076234363
131000	465.805305381347	404.507323107807	510.327025400863
131010	465.847334723579	404.484988390117	510.231466669082
131020	465.889128996722	404.462826183296	510.135877930815
131030	465.930687921632	404.440836424728	510.040259845978
131040	465.972011221125	404.419019051833	509.944613072898
131050	466.013098619992	404.39737400191	509.848938268534
131060	466.053949844996	404.375901212094	509.753236088325
131070	466.094564624915	404.354600619552	509.657507186153
131080	466.134942690414	404.333472161339	509.561752214735
131090	466.175083774248	404.312515774345	509.465971824831
131100	466.214987611216	404.291731395488	509.370166666291
131110	466.254653937825	404.271118961595	509.274337387094
131120	466.294082492993	404.250678409402	509.178484633966
131130	466.333273017246	404.230409675532	509.082609052085
131140	466.372225253364	404.210312696637	508.986711285246
131150	466.410938946024	404.190387409248	508.89079197565
131160	466.449413841858	404.170633749842	508.794851764122
131170	466.487649689729	404.151051654819	508.698891290087
131180	466.525646240196	404.13164106057	508.60291119142
131190	466.563403246002	404.112401903409	508.506912104575
